TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1895.0577,-903.227,101.382,-424.621,1890.0,-1417.5,-1881.25,545.68,-264.48,269.04
1895.1077,-905.911,112.667,-424.56,1610.0,-262.5,-1391.25,553.28,-266.0,275.12
1895.1577,-905.24,114.68,-424.316,525.0,-8.75,-2266.25,544.16,-266.0,273.6
1895.2077,-902.19,105.713,-425.353,796.25,-586.25,-2432.5,548.72,-267.52,262.96
1895.2577,-905.24,110.837,-427.0,2423.75,-262.5,-1513.75,536.56,-269.04,255.36
1895.3077,-909.144,113.582,-428.891,1601.25,-778.75,-2082.5,547.2,-261.44,272.08
1895.3577,-903.959,109.19,-423.157,735.0,-1461.25,-2248.75,536.56,-276.64,264.48
1895.4078,-901.824,107.482,-423.34,1268.75,-988.75,-2091.25,550.24,-273.6,255.36
1895.4577,-908.961,111.996,-425.048,1697.5,-988.75,-1706.25,544.16,-270.56,262.96
1895.5077,-905.301,113.948,-425.292,1400.0,-1181.25,-1802.5,538.08,-279.68,259.92
1895.5577,-907.131,112.301,-423.889,945.0,-516.25,-2178.75,539.6,-272.08,267.52
1895.6077,-907.741,110.349,-425.597,1155.0,-743.75,-2126.25,554.8,-266.0,256.88
1895.6577,-903.654,107.97,-426.512,1592.5,-1408.75,-1986.25,544.16,-264.48,266.0
1895.7077,-906.582,110.349,-423.401,1636.25,-1321.25,-2082.5,547.2,-267.52,261.44
1895.7577,-905.728,111.874,-422.12,1496.25,-1461.25,-2371.25,554.8,-276.64,253.84
1895.8077,-908.412,112.423,-422.242,1522.5,-857.5,-1898.75,548.72,-270.56,264.48
1895.8577,-903.837,113.582,-423.828,1286.25,-516.25,-1732.5,536.56,-276.64,256.88
1895.9077,-914.085,107.543,-422.12,1242.5,-1085.0,-3097.5,538.08,-269.04,262.96
1895.9577,-908.595,104.371,-421.205,1750.0,-1575.0,-2406.25,550.24,-270.56,266.0
1896.0077,-900.543,113.826,-419.07,1846.25,-367.5,-1478.75,551.76,-267.52,258.4
1896.0577,-906.887,113.033,-424.316,595.0,26.25,-2581.25,550.24,-276.64,261.44
1896.1077,-907.985,105.591,-423.157,647.5,-630.0,-2633.75,557.84,-273.6,258.4
1896.1577,-901.946,103.883,-426.512,2301.25,-35.0,-1610.0,557.84,-273.6,261.44
1896.2077,-907.985,115.595,-426.329,1881.25,-560.0,-1942.5,532.0,-266.0,258.4
1896.2577,-905.179,110.227,-425.841,857.5,-1443.75,-2196.25,551.76,-266.0,256.88
1896.3077,-906.338,111.874,-424.377,848.75,-1645.0,-2248.75,539.6,-262.96,252.32
1896.3577,-906.338,108.763,-424.56,1277.5,-1015.0,-2065.0,525.92,-258.4,262.96
1896.4077,-908.839,112.911,-424.682,1207.5,-1487.5,-1933.75,544.16,-266.0,255.36
1896.4577,-902.129,112.301,-421.266,805.0,-901.25,-1986.25,548.72,-270.56,258.4
1896.5077,-906.704,110.898,-422.059,638.75,-1216.25,-2406.25,550.24,-258.4,256.88
1896.5577,-907.436,109.434,-421.449,971.25,-1400.0,-2065.0,528.96,-272.08,261.44
1896.6077,-904.996,114.131,-422.913,1417.5,-1102.5,-1855.0,553.28,-269.04,261.44
1896.6577,-906.399,112.606,-420.107,1268.75,-892.5,-2091.25,545.68,-264.48,250.8
1896.7077,-907.741,112.179,-423.828,1478.75,-1408.75,-2047.5,538.08,-267.52,253.84
1896.7577,-906.033,110.837,-423.401,1391.25,-1583.75,-1680.0,548.72,-272.08,255.36
1896.8077,-904.813,114.619,-421.998,997.5,-831.25,-1986.25,553.28,-261.44,246.24
