TimeStamp,ch1,ch2,ch3,ch4
1892.2983,631.33,558.19,-6705.09,2833.51
1892.3023,628.76,561.14,-6672.62,2845.81
1892.3063,616.03,557.14,-6665.42,2846.53
1892.3103,620.51,559.95,-6687.12,2842.9
1892.3143,622.99,556.9,-6715.58,2831.13
1892.318,624.99,556.33,-6705.67,2832.56
1892.322,618.98,555.8,-6678.06,2842.43
1892.326,604.68,550.65,-6670.19,2841.9
1892.33,607.63,547.17,-6694.41,2831.98
1892.334,618.31,548.08,-6712.63,2825.79
1892.338,624.85,552.85,-6701.33,2832.08
1892.342,615.88,550.22,-6680.87,2836.85
1892.346,602.29,545.26,-6674.86,2837.04
1892.35,606.92,544.74,-6696.94,2830.65
1892.354,613.98,545.64,-6716.3,2823.07
1892.358,619.13,549.6,-6708.15,2828.46
1892.362,619.03,555.8,-6676.15,2843.76
1892.366,602.58,545.69,-6671.24,2839.8
1892.37,600.29,539.88,-6698.8,2829.22
1892.374,608.25,538.3,-6723.45,2818.87
1892.378,613.74,542.31,-6712.96,2823.31
1892.382,611.78,547.46,-6681.49,2837.13
1892.386,596.05,543.69,-6671.76,2838.56
1892.39,601.82,543.07,-6694.75,2832.84
1892.394,615.07,543.93,-6720.31,2822.07
1892.398,622.89,551.94,-6706.1,2829.93
1892.402,623.46,562.19,-6670.9,2848.2
1892.406,600.39,550.32,-6670.19,2842.38
1892.41,596.0,538.4,-6705.14,2825.07
1892.414,611.07,542.69,-6723.69,2820.3
1892.418,619.22,546.65,-6713.44,2824.93
1892.422,615.74,549.98,-6683.64,2838.04
1892.426,606.78,549.84,-6666.14,2844.62
1892.43,614.26,550.08,-6686.07,2839.47
1892.434,624.66,552.08,-6709.43,2832.27
1892.438,632.43,556.61,-6701.95,2835.94
1892.442,629.09,560.67,-6673.38,2847.91
1892.446,615.98,557.23,-6662.23,2848.63
1892.4497,613.83,549.79,-6693.75,2833.8
1892.4537,625.99,553.99,-6712.15,2830.51
1892.4577,633.81,561.05,-6699.99,2838.04
1892.4617,628.33,563.05,-6672.34,2848.48
1892.4657,614.79,556.33,-6667.09,2846.15
1892.4697,613.55,551.61,-6691.98,2837.13
1892.4737,621.99,551.32,-6711.63,2829.6
1892.4777,633.86,558.14,-6698.47,2837.8
1892.4817,626.71,557.85,-6673.19,2847.58
1892.4857,610.49,550.22,-6668.43,2844.0
1892.4897,609.83,545.41,-6696.18,2831.89
1892.4937,617.36,544.93,-6721.78,2821.06
1892.4977,627.33,553.18,-6709.86,2829.22
1892.5017,627.09,559.0,-6677.72,2845.0
1892.5057,612.88,553.42,-6666.9,2845.72
1892.5097,614.12,549.98,-6691.12,2836.37
1892.5137,625.32,550.08,-6713.96,2829.89
1892.5177,629.71,550.84,-6706.72,2831.65
1892.5217,624.61,553.32,-6678.49,2842.76
1892.5257,613.16,550.94,-6665.42,2846.24
1892.5297,612.74,544.64,-6693.65,2833.51
1892.5337,621.22,546.22,-6716.44,2826.17
1892.5377,628.28,550.17,-6710.43,2829.22
1892.5417,630.43,558.76,-6676.96,2845.91
1892.5457,613.45,551.8,-6662.89,2845.72
1892.5497,605.73,540.45,-6692.98,2828.55
1892.5537,614.12,539.26,-6720.97,2817.39
1892.5577,622.18,542.02,-6716.82,2820.87
1892.5617,619.94,545.69,-6684.11,2835.32
1892.5657,605.49,540.54,-6671.86,2835.85
1892.5697,606.35,536.49,-6696.65,2826.31
1892.5737,617.98,538.78,-6721.78,2818.01
1892.5777,625.56,543.36,-6716.59,2820.3
1892.5815,624.56,548.6,-6681.35,2834.84
1892.5855,611.59,546.74,-6665.18,2839.28
1892.5895,611.97,543.4,-6687.83,2832.6
1892.5935,617.17,539.45,-6716.82,2819.97
1892.5975,626.13,544.98,-6710.72,2823.93
1892.6015,623.18,548.03,-6681.49,2836.85
1892.6055,606.97,542.31,-6668.66,2836.61
1892.6095,604.44,534.11,-6697.13,2824.07
1892.6135,614.36,534.82,-6722.07,2814.63
1892.6175,627.18,544.02,-6709.77,2824.21
1892.6215,626.56,550.03,-6678.01,2839.95
1892.6255,617.41,550.7,-6660.89,2847.05
1892.6295,617.46,547.5,-6684.73,2838.33
1892.6335,624.47,546.84,-6710.67,2828.41
1892.6375,634.29,551.03,-6706.24,2832.37
1892.6415,630.57,552.99,-6680.49,2842.95
1892.6455,620.13,552.27,-6665.09,2846.62
1892.6495,618.17,546.36,-6689.98,2834.51
1892.6535,621.99,542.45,-6716.01,2823.54
1892.6575,630.52,548.08,-6710.48,2828.17
1892.6615,631.05,556.14,-6676.63,2843.71
1892.6655,620.22,553.18,-6661.27,2848.01
1892.6695,615.12,545.41,-6691.46,2834.27
1892.6735,623.89,549.98,-6715.01,2827.93
1892.6775,635.72,557.18,-6706.57,2834.51
1892.6815,635.58,560.09,-6673.48,2849.01
1892.6855,621.56,554.18,-6661.08,2847.62
1892.6895,614.36,544.12,-6692.84,2832.37
1892.6935,620.27,541.31,-6723.21,2820.16
1892.6975,635.43,550.94,-6717.78,2826.98
1892.7015,633.76,555.8,-6689.22,2840.47
1892.7055,623.18,554.42,-6672.0,2844.91
1892.7095,625.66,552.8,-6689.31,2839.8
1892.7132,632.48,550.08,-6715.82,2829.74
1892.7172,639.63,551.84,-6716.49,2829.31
1892.7212,634.1,553.08,-6690.6,2838.47
1892.7252,618.84,546.79,-6677.87,2839.52
1892.7292,614.45,541.02,-6700.04,2829.74
1892.7332,628.28,546.84,-6717.92,2826.6
1892.7372,645.64,558.52,-6708.72,2835.32
1892.7412,641.01,562.38,-6680.73,2848.15
1892.7452,622.99,554.47,-6671.29,2846.86
1892.7492,617.17,545.12,-6698.47,2832.84
1892.7532,622.8,542.12,-6722.88,2822.64
1892.7572,632.57,546.26,-6721.26,2824.02
1892.7612,635.67,554.51,-6685.59,2840.04
1892.7652,621.41,552.32,-6665.9,2846.53
1892.7692,615.64,543.31,-6690.36,2835.08
1892.7732,620.27,537.59,-6720.73,2820.49
1892.7772,630.19,542.69,-6720.16,2824.02
1892.7812,628.38,548.32,-6691.17,2836.99
1892.7852,614.07,543.93,-6677.01,2839.04
1892.7892,609.78,536.25,-6702.47,2826.74
1892.7932,620.27,537.16,-6726.55,2818.49
1892.7972,634.34,544.21,-6720.97,2824.93
1892.8012,629.85,547.08,-6693.79,2836.99
1892.8052,615.41,543.26,-6679.11,2838.85
1892.8092,609.78,534.63,-6701.66,2825.88
1892.8132,616.93,535.11,-6726.6,2816.15
1892.8172,630.81,542.69,-6720.5,2823.78
1892.8212,633.53,550.08,-6686.55,2838.66
1892.8252,619.27,547.27,-6671.95,2840.33
1892.8292,614.69,541.35,-6696.13,2829.36
1892.8332,623.04,538.49,-6724.55,2816.87
1892.8372,632.95,540.78,-6724.31,2818.25
1892.8412,626.85,541.45,-6699.23,2825.4
1892.8449,617.6,542.83,-6676.96,2834.51
1892.8489,612.55,535.44,-6702.38,2823.35
1892.8529,618.98,534.2,-6728.22,2812.77
1892.8569,628.76,537.54,-6728.6,2815.49
1892.8609,625.85,540.64,-6697.46,2828.98
1892.8649,618.84,543.98,-6674.43,2837.94
1892.8689,613.07,540.88,-6700.09,2830.08
1892.8729,617.36,536.58,-6729.17,2816.3
1892.8769,625.56,536.58,-6726.74,2815.2
1892.8809,623.89,540.45,-6694.51,2828.03
1892.8849,609.45,536.44,-6679.49,2830.98
1892.8889,602.53,527.38,-6701.52,2820.21
1892.8929,608.16,526.0,-6728.46,2810.43
1892.8969,621.08,534.2,-6724.64,2815.29
1892.9009,619.36,540.16,-6694.27,2829.46
1892.9049,609.64,539.45,-6674.0,2837.37
1892.9089,604.77,534.44,-6694.17,2829.36
1892.9129,610.97,532.29,-6725.07,2816.58
1892.9169,625.71,539.4,-6723.5,2819.63
1892.9209,624.32,543.74,-6695.13,2832.17
1892.9249,608.97,541.73,-6674.91,2836.66
1892.9289,604.58,536.3,-6689.84,2830.46
1892.9329,611.02,532.34,-6718.68,2819.25
1892.9369,624.47,537.82,-6719.97,2822.3
1892.9409,618.79,538.4,-6693.84,2830.84
1892.9449,603.25,533.68,-6676.34,2833.51
1892.9489,602.48,531.48,-6693.94,2825.55
1892.9529,608.44,527.05,-6724.55,2810.14
1892.9569,613.02,526.0,-6733.04,2805.95
1892.9609,610.49,531.01,-6701.28,2821.02
1892.9649,601.96,533.87,-6675.24,2832.6
1892.9689,599.34,529.62,-6692.46,2825.02
1892.9729,603.68,524.47,-6721.97,2811.91
1892.9766,611.35,524.0,-6732.51,2808.86
1892.9806,608.87,526.67,-6705.43,2819.82
1892.9846,596.67,525.76,-6687.69,2823.16
1892.9886,590.56,518.94,-6708.58,2813.01
1892.9926,598.76,519.18,-6734.32,2803.9
1892.9966,612.4,525.47,-6736.95,2807.19
1893.0006,613.26,531.01,-6708.67,2819.78
1893.0046,595.47,522.9,-6696.51,2818.35
1893.0086,594.66,520.04,-6711.72,2813.29
1893.0126,610.07,529.1,-6728.41,2813.15
1893.0166,620.84,533.72,-6730.27,2815.96
1893.0206,619.84,537.25,-6700.75,2827.79
1893.0246,610.54,539.26,-6675.15,2836.23
1893.0286,606.35,534.68,-6692.12,2829.65
1893.0326,604.11,527.0,-6726.89,2813.48
1893.0366,612.78,529.43,-6735.23,2811.38
1893.0406,609.21,530.29,-6707.62,2821.26
1893.0446,597.24,528.62,-6683.45,2828.6
1893.0486,587.8,521.18,-6706.05,2818.11
1893.0526,595.05,520.37,-6733.7,2809.0
1893.0566,607.3,525.19,-6734.66,2811.24
1893.0606,608.21,529.62,-6704.05,2823.4
1893.0646,600.96,529.24,-6680.16,2831.6
1893.0686,597.67,524.43,-6696.56,2824.69
1893.0726,604.53,524.57,-6725.69,2813.05
1893.0766,614.88,528.72,-6732.18,2813.01
1893.0806,613.02,531.72,-6706.95,2823.02
1893.0846,601.82,530.53,-6686.64,2829.98
1893.0886,596.05,526.09,-6703.81,2821.02
1893.0926,605.82,527.62,-6727.31,2812.05
1893.0966,623.13,536.49,-6728.51,2817.68
1893.1006,620.46,536.35,-6703.71,2825.31
1893.1046,609.21,533.68,-6682.35,2831.75
1893.1084,600.29,526.86,-6699.85,2823.88
1893.1124,605.63,524.43,-6727.74,2811.86
1893.1164,618.6,529.58,-6732.08,2811.62
