TimeStamp,ch1,ch2,ch3,ch4
2083.085,432.68,-1444.72,-7496.07,1624.06
2083.089,429.25,-1441.43,-7468.84,1635.93
2083.093,414.37,-1445.06,-7454.01,1639.03
2083.097,404.83,-1454.97,-7475.81,1626.25
2083.101,414.32,-1454.31,-7497.84,1618.15
2083.105,428.39,-1448.2,-7497.5,1621.53
2083.109,425.53,-1444.53,-7469.27,1633.84
2083.113,409.79,-1450.4,-7456.26,1633.84
2083.117,405.17,-1455.59,-7470.13,1626.21
2083.121,411.13,-1455.64,-7492.26,1617.34
2083.125,423.0,-1450.44,-7495.26,1620.67
2083.129,423.24,-1446.72,-7470.56,1631.4
2083.133,412.42,-1446.44,-7451.96,1637.03
2083.137,411.56,-1449.35,-7467.18,1629.5
2083.141,417.47,-1452.97,-7492.59,1618.19
2083.145,426.39,-1449.87,-7495.12,1621.63
2083.149,423.1,-1444.86,-7466.89,1634.26
2083.153,410.32,-1447.63,-7450.72,1636.89
2083.157,405.17,-1453.02,-7467.32,1628.59
2083.161,413.75,-1452.54,-7492.3,1618.91
2083.165,423.24,-1450.06,-7497.36,1618.58
2083.169,419.04,-1449.92,-7473.66,1627.11
2083.173,407.17,-1453.26,-7460.6,1628.16
2083.177,403.07,-1457.64,-7474.38,1620.25
2083.181,416.09,-1454.97,-7491.45,1617.1
2083.185,429.92,-1445.91,-7490.87,1621.29
2083.189,428.06,-1441.48,-7463.46,1634.74
2083.193,414.37,-1445.48,-7446.91,1636.89
2083.197,409.27,-1451.4,-7462.88,1629.35
2083.201,417.52,-1452.16,-7484.48,1620.53
2083.205,430.87,-1446.96,-7488.3,1622.63
2083.209,426.86,-1446.1,-7464.79,1631.69
2083.213,415.8,-1445.1,-7444.05,1638.94
2083.2167,413.23,-1448.58,-7457.3,1632.4
2083.2207,419.43,-1449.92,-7478.38,1623.68
2083.2247,429.3,-1446.29,-7481.96,1624.97
2083.2287,425.48,-1445.91,-7458.59,1634.55
2083.2327,414.13,-1446.29,-7443.24,1639.41
2083.2367,408.51,-1452.88,-7460.21,1630.26
2083.2407,414.04,-1457.26,-7485.53,1619.05
2083.2447,430.73,-1451.06,-7485.92,1623.34
2083.2487,430.44,-1444.39,-7459.88,1635.31
2083.2527,414.94,-1448.87,-7445.96,1634.98
2083.2567,411.27,-1451.83,-7459.21,1628.16
2083.2607,418.47,-1453.11,-7484.01,1620.29
2083.2647,428.63,-1450.97,-7491.54,1620.63
2083.2687,427.68,-1447.15,-7462.79,1632.98
2083.2727,418.71,-1443.72,-7438.76,1641.89
2083.2767,409.65,-1451.3,-7456.35,1631.64
2083.2807,416.42,-1451.54,-7479.38,1624.06
2083.2847,434.68,-1441.81,-7478.91,1630.07
2083.2887,435.02,-1437.85,-7455.83,1640.7
2083.2927,419.57,-1442.29,-7440.19,1643.47
2083.2967,410.75,-1449.2,-7456.11,1635.69
