TimeStamp,ch1,ch2,ch3,ch4
2051.3315,589.18,-1034.88,-7347.97,2041.34
2051.3355,577.45,-1037.98,-7325.32,2047.35
2051.3395,559.9,-1045.89,-7321.41,2041.86
2051.3435,563.86,-1047.23,-7345.01,2032.57
2051.3475,573.44,-1047.42,-7372.43,2022.41
2051.3515,585.56,-1040.08,-7361.94,2031.56
2051.3555,580.02,-1037.65,-7332.66,2043.68
2051.3595,561.14,-1044.08,-7323.55,2042.63
2051.3635,563.76,-1046.85,-7346.11,2033.95
2051.3675,576.59,-1042.41,-7366.23,2028.37
2051.3715,588.13,-1032.88,-7354.83,2037.67
2051.3755,581.17,-1031.02,-7329.37,2046.87
2051.3795,563.05,-1038.93,-7325.6,2041.29
2051.3835,565.86,-1041.03,-7348.73,2033.95
2051.3875,584.41,-1033.02,-7364.27,2033.76
2051.3915,594.23,-1027.82,-7354.93,2040.96
2051.3955,587.03,-1025.25,-7327.51,2053.02
2051.3995,567.72,-1034.07,-7322.6,2049.59
2051.4035,573.78,-1035.45,-7345.15,2040.29
2051.4075,581.22,-1037.26,-7365.75,2030.56
2051.4115,586.65,-1034.5,-7355.5,2037.29
2051.4155,580.93,-1033.5,-7330.28,2046.97
2051.4195,564.86,-1039.22,-7321.84,2044.63
2051.4235,563.43,-1045.66,-7348.3,2033.28
2051.4275,577.07,-1045.08,-7369.9,2025.32
2051.4315,589.18,-1036.45,-7355.4,2035.76
2051.4355,582.74,-1034.83,-7330.75,2045.58
2051.4395,561.29,-1043.08,-7327.37,2039.86
2051.4435,561.67,-1047.66,-7347.68,2030.99
2051.4475,572.59,-1046.99,-7366.99,2023.89
2051.4515,583.79,-1039.36,-7353.83,2034.28
2051.4555,578.93,-1036.6,-7326.56,2047.49
2051.4595,558.81,-1044.61,-7319.79,2042.72
2051.4633,562.05,-1047.52,-7341.34,2033.62
2051.4673,579.74,-1042.89,-7362.65,2028.66
2051.4713,595.38,-1033.16,-7352.4,2038.62
2051.4753,581.65,-1034.36,-7326.22,2046.54
2051.4793,566.05,-1037.88,-7311.2,2050.54
2051.4833,570.92,-1037.6,-7330.94,2043.2
2051.4873,579.6,-1037.98,-7355.36,2033.19
2051.4913,583.22,-1037.55,-7352.78,2034.43
2051.4953,578.79,-1036.12,-7328.56,2044.39
2051.4993,566.34,-1037.79,-7316.59,2047.16
2051.5033,568.82,-1037.88,-7337.28,2037.72
2051.5073,578.59,-1037.69,-7358.6,2028.99
2051.5113,587.08,-1033.54,-7349.64,2034.38
2051.5153,581.22,-1031.73,-7318.45,2047.01
2051.5193,566.77,-1037.22,-7311.49,2047.06
2051.5233,560.47,-1047.9,-7346.73,2030.71
2051.5273,566.86,-1048.14,-7367.56,2022.03
2051.5313,579.55,-1038.36,-7355.17,2032.57
2051.5353,571.78,-1037.07,-7327.99,2042.77
2051.5393,556.61,-1042.32,-7319.02,2041.67
2051.5433,556.47,-1047.71,-7344.82,2029.51
2051.5473,569.77,-1045.99,-7365.56,2024.27
2051.5513,581.79,-1039.08,-7355.31,2030.85
2051.5553,575.26,-1039.31,-7331.61,2038.53
2051.5593,557.23,-1048.09,-7327.94,2031.8
2051.5633,563.34,-1046.09,-7345.77,2029.04
2051.5673,576.26,-1042.65,-7366.04,2026.7
2051.5713,583.84,-1039.08,-7356.6,2031.52
2051.5753,577.12,-1037.22,-7327.94,2041.01
2051.5793,565.96,-1038.46,-7316.35,2043.68
2051.5833,570.77,-1038.74,-7338.76,2036.76
2051.5873,580.45,-1039.7,-7362.22,2029.04
2051.5913,588.27,-1034.26,-7352.35,2037.43
2051.595,577.93,-1038.6,-7328.27,2044.15
2051.599,561.76,-1043.37,-7318.12,2042.82
2051.603,565.62,-1043.94,-7338.91,2035.71
2051.607,573.4,-1047.04,-7364.61,2024.6
2051.611,584.32,-1040.84,-7355.79,2032.66
2051.615,580.79,-1035.93,-7326.32,2046.3
2051.619,565.67,-1040.79,-7314.87,2046.01
2051.623,568.68,-1041.46,-7335.47,2039.24
2051.627,575.83,-1042.8,-7361.37,2029.47
2051.631,579.98,-1043.46,-7358.65,2031.47
2051.635,571.92,-1043.94,-7330.18,2040.91
2051.639,557.23,-1046.32,-7319.31,2042.06
2051.643,557.23,-1051.28,-7344.58,2031.28
2051.647,568.68,-1049.66,-7366.61,2024.32
2051.651,585.99,-1039.31,-7354.36,2034.86
2051.655,585.41,-1031.02,-7321.07,2052.21
2051.659,561.33,-1040.27,-7316.4,2045.54
2051.663,559.23,-1047.18,-7341.48,2033.76
2051.667,572.01,-1044.85,-7364.23,2027.23
2051.671,585.7,-1035.45,-7354.69,2035.09
2051.675,583.46,-1032.54,-7328.08,2045.35
2051.679,570.2,-1035.4,-7317.11,2047.3
2051.683,572.35,-1037.17,-7336.62,2040.05
2051.687,584.32,-1036.02,-7357.74,2032.18
2051.691,592.85,-1032.83,-7353.83,2034.86
2051.695,580.74,-1036.12,-7330.42,2043.77
2051.699,562.14,-1044.23,-7320.98,2041.29
2051.703,567.34,-1041.7,-7338.91,2038.91
2051.707,582.17,-1036.45,-7356.74,2037.0
2051.711,595.47,-1030.21,-7348.16,2044.25
2051.715,585.13,-1033.16,-7324.84,2050.02
2051.719,563.96,-1042.6,-7316.54,2045.92
2051.723,563.34,-1045.85,-7337.05,2036.71
2051.7268,575.54,-1042.94,-7359.31,2030.42
2051.7308,584.75,-1038.55,-7355.55,2035.43
2051.7348,580.36,-1037.79,-7326.84,2045.68
2051.7388,567.87,-1040.74,-7311.68,2048.02
2051.7428,566.77,-1044.13,-7333.66,2037.67
2051.7468,573.44,-1046.28,-7361.6,2025.7
2051.7508,585.6,-1041.27,-7359.93,2029.13
2051.7548,584.55,-1035.6,-7335.04,2042.01
2051.7588,568.2,-1041.56,-7326.99,2039.62
2051.7628,571.92,-1040.7,-7339.57,2037.1
2051.7668,584.36,-1037.93,-7355.64,2033.76
2051.7708,596.76,-1031.73,-7345.68,2041.91
2051.7748,588.37,-1030.92,-7317.97,2051.21
2051.7788,572.97,-1036.5,-7305.29,2051.31
2051.7828,568.06,-1043.27,-7322.74,2042.1
2051.7868,576.07,-1043.13,-7345.72,2033.47
2051.7908,590.13,-1036.88,-7339.86,2040.77
2051.7948,585.56,-1033.93,-7312.73,2052.59
2051.7988,572.87,-1036.17,-7297.42,2055.84
2051.8028,567.72,-1045.32,-7322.69,2041.63
2051.8068,571.63,-1049.57,-7351.02,2027.23
2051.8108,585.27,-1042.89,-7345.49,2032.95
2051.8148,585.27,-1037.45,-7312.54,2047.11
2051.8188,570.34,-1040.41,-7298.71,2048.44
2051.8228,569.06,-1044.23,-7320.83,2038.19
2051.8268,575.73,-1046.28,-7346.34,2028.18
2051.8308,590.66,-1038.31,-7337.38,2038.91
2051.8348,587.03,-1035.26,-7307.1,2051.78
2051.8388,563.29,-1046.32,-7302.52,2045.11
2051.8428,561.67,-1051.28,-7324.65,2034.47
2051.8468,575.59,-1048.28,-7347.54,2030.33
2051.8508,586.89,-1041.56,-7344.44,2034.33
2051.8548,580.36,-1040.27,-7320.21,2042.25
2051.8586,563.81,-1046.71,-7308.1,2042.96
2051.8626,564.62,-1049.8,-7323.93,2036.43
2051.8666,569.34,-1053.33,-7352.78,2022.31
2051.8706,578.74,-1050.95,-7353.64,2024.13
2051.8746,575.49,-1046.71,-7325.46,2036.76
2051.8786,556.09,-1052.9,-7314.97,2036.71
2051.8826,550.79,-1059.82,-7337.28,2024.08
2051.8866,564.19,-1054.95,-7355.02,2020.31
2051.8906,574.73,-1050.33,-7350.02,2024.08
2051.8946,573.78,-1046.09,-7320.17,2037.57
2051.8986,560.33,-1049.95,-7306.62,2039.15
2051.9026,559.14,-1054.0,-7326.37,2032.66
2051.9066,566.77,-1053.62,-7348.44,2024.13
2051.9106,574.54,-1051.0,-7349.54,2025.41
2051.9146,571.39,-1050.09,-7321.36,2036.38
2051.9186,558.28,-1051.62,-7306.05,2039.05
2051.9226,555.9,-1055.91,-7327.65,2029.37
2051.9266,565.2,-1054.72,-7349.21,2022.79
2051.9306,577.93,-1048.85,-7344.15,2028.42
2051.9346,575.97,-1044.89,-7314.4,2041.82
2051.9386,563.19,-1048.47,-7298.66,2045.82
2051.9426,562.95,-1050.04,-7320.31,2034.66
2051.9466,570.11,-1053.86,-7347.54,2022.6
2051.9506,576.07,-1053.76,-7350.4,2021.27
2051.9546,574.3,-1047.09,-7322.03,2036.19
2051.9586,560.47,-1049.38,-7305.19,2039.05
2051.9626,555.18,-1055.62,-7326.89,2028.13
2051.9666,561.0,-1056.77,-7353.83,2019.17
2051.9706,574.16,-1049.95,-7353.4,2025.13
2051.9746,579.21,-1040.98,-7316.07,2045.39
2051.9786,563.1,-1047.61,-7302.48,2044.49
2051.9826,559.76,-1053.19,-7321.07,2033.85
2051.9866,566.96,-1053.33,-7344.25,2024.7
2051.9903,578.02,-1048.85,-7342.29,2028.51
2051.9943,575.07,-1045.47,-7312.58,2042.2
2051.9983,565.48,-1045.61,-7295.32,2048.64
2052.0023,564.62,-1049.57,-7314.68,2039.43
2052.0063,569.3,-1054.19,-7343.96,2025.08
2052.0103,579.79,-1048.66,-7345.53,2025.99
2052.0143,572.63,-1050.23,-7323.31,2033.76
2052.0183,557.95,-1054.24,-7309.87,2036.29
2052.0223,552.61,-1060.82,-7330.28,2023.17
2052.0263,560.9,-1062.49,-7352.4,2014.49
2052.0303,573.92,-1055.53,-7353.02,2018.02
