TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2083.2577,-915.427,79.483,-400.282,2135.0,-1163.75,-1758.75,522.88,-240.16,269.04
2083.3077,-918.416,88.389,-401.38,918.75,-446.25,-2073.75,548.72,-234.08,267.52
2083.3577,-922.381,84.912,-403.149,376.25,-551.25,-2511.25,535.04,-241.68,262.96
2083.4077,-917.684,75.884,-402.417,1706.25,-70.0,-2266.25,541.12,-249.28,258.4
2083.4577,-920.002,85.888,-403.271,2012.5,-656.25,-1837.5,541.12,-240.16,256.88
2083.5077,-919.209,84.607,-403.637,1592.5,-866.25,-2143.75,542.64,-237.12,279.68
2083.5577,-920.978,84.79,-400.709,1146.25,-1041.25,-2502.5,548.72,-234.08,273.6
2083.6077,-922.198,78.141,-401.258,1776.25,-997.5,-2336.25,557.84,-237.12,267.52
2083.6577,-917.867,81.74,-399.55,2003.75,-1032.5,-1776.25,553.28,-241.68,278.16
2083.7077,-920.307,84.485,-400.831,1120.0,-455.0,-2135.0,551.76,-247.76,269.04
2083.7577,-922.747,78.507,-401.38,1286.25,-656.25,-2808.75,542.64,-234.08,258.4
2083.8077,-919.575,82.594,-399.977,1636.25,-778.75,-1251.25,559.36,-237.12,272.08
2083.8577,-914.207,84.912,-399.794,1583.75,-131.25,-1785.0,556.32,-247.76,262.96
2083.9077,-928.115,80.886,-402.051,1347.5,148.75,-3421.25,533.52,-241.68,287.28
2083.9577,-924.577,77.287,-401.99,1575.0,-1216.25,-3036.25,539.6,-238.64,267.52
2084.0077,-912.621,81.191,-403.149,2441.25,-306.25,-1365.0,551.76,-243.2,262.96
2084.0577,-916.586,87.535,-405.528,1303.75,192.5,-1802.5,551.76,-229.52,253.84
2084.1077,-922.442,80.581,-405.162,533.75,-105.0,-2975.0,527.44,-238.64,264.48
2084.1577,-920.795,74.237,-406.809,2196.25,-708.75,-1986.25,535.04,-238.64,256.88
2084.2077,-919.026,83.875,-408.639,2336.25,-1015.0,-1968.75,547.2,-238.64,269.04
2084.2577,-920.795,83.204,-404.247,1470.0,-1767.5,-2301.25,547.2,-228.0,267.52
2084.3077,-915.061,80.459,-405.223,1233.75,-1365.0,-2598.75,547.2,-246.24,269.04
2084.3577,-922.686,79.117,-403.393,1268.75,-1356.25,-2161.25,550.24,-237.12,266.0
2084.4077,-917.928,78.995,-399.733,1277.5,-980.0,-2003.75,539.6,-241.68,262.96
2084.4577,-920.063,80.398,-404.003,988.75,-638.75,-2073.75,533.52,-243.2,267.52
2084.5077,-919.575,76.189,-401.624,1303.75,-866.25,-2310.0,541.12,-240.16,279.68
2084.5577,-919.087,80.642,-403.942,1373.75,-638.75,-1391.25,554.8,-234.08,270.56
2084.6077,-916.037,82.899,-405.406,1128.75,-280.0,-2143.75,551.76,-237.12,264.48
2084.6577,-925.553,79.056,-405.162,1505.0,-516.25,-2861.25,559.36,-243.2,272.08
2084.7077,-918.416,77.226,-401.563,1793.75,-1303.75,-1820.0,538.08,-241.68,264.48
2084.7577,-916.708,85.583,-402.6,1802.5,-420.0,-1522.5,544.16,-234.08,264.48
2084.8077,-919.575,84.302,-406.443,271.25,-131.25,-2178.75,550.24,-235.6,256.88
2084.8577,-922.198,81.069,-407.846,323.75,-595.0,-2423.75,545.68,-240.16,272.08
2084.9077,-917.745,78.507,-405.955,1671.25,-315.0,-1951.25,545.68,-247.76,264.48
2084.9577,-916.403,84.363,-404.918,1610.0,-306.25,-1636.25,553.28,-246.24,278.16
2085.0077,-919.636,84.973,-407.297,988.75,-332.5,-1750.0,532.0,-244.72,267.52
2085.0577,-917.379,82.106,-409.249,988.75,-533.75,-2362.5,547.2,-240.16,284.24
2085.1077,-920.978,81.801,-407.053,1085.0,-962.5,-1968.75,551.76,-243.2,285.76
2085.1577,-916.22,84.79,-402.234,1225.0,-962.5,-1636.25,542.64,-237.12,264.48
2085.2077,-918.416,87.596,-405.223,621.25,-717.5,-1995.0,538.08,-246.24,270.56
2085.2577,-918.294,81.374,-403.027,988.75,-621.25,-2161.25,541.12,-244.72,259.92
2085.3077,-917.684,82.289,-403.82,1995.0,-358.75,-1925.0,548.72,-244.72,259.92
2085.3577,-915.061,91.683,-405.162,1601.25,218.75,-1741.25,548.72,-241.68,273.6
