TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1944.1077,-902.861,124.989,-427.488,2030.0,-1890.0,-1715.0,547.2,-278.16,275.12
1944.1577,-901.092,131.15,-423.767,2450.0,-1592.5,-1522.5,547.2,-281.2,255.36
1944.2077,-897.005,131.394,-425.536,1312.5,-411.25,-1872.5,547.2,-281.2,247.76
1944.2577,-904.325,127.185,-429.074,1330.0,-227.5,-2747.5,533.52,-290.32,261.44
1944.3077,-903.471,123.342,-424.621,1758.75,-1925.0,-1802.5,544.16,-291.84,258.4
1944.3577,-903.105,129.991,-422.425,1828.75,-1732.5,-1216.25,551.76,-281.2,259.92
1944.4077,-897.798,136.945,-420.473,-61.25,-1260.0,-2511.25,556.32,-293.36,262.96
1944.4577,-933.849,112.667,-415.044,-1505.0,1583.75,-3815.0,562.4,-288.8,267.52
1944.5077,-903.959,106.445,-408.151,376.25,-2047.5,-2695.0,539.6,-282.72,278.16
1944.5577,-904.081,111.081,-425.841,2441.25,-490.0,17.5,544.16,-278.16,256.88
1944.6077,-898.652,130.845,-438.285,3185.0,-1452.5,-656.25,528.96,-285.76,267.52
1944.6577,-911.401,158.783,-449.448,-498.75,-3990.0,-1347.5,538.08,-275.12,267.52
1944.7077,-893.284,159.393,-439.017,-3657.5,-5503.75,-1820.0,550.24,-288.8,241.68
1944.7577,-897.493,139.385,-439.688,-2012.5,-5346.25,-3867.5,539.6,-281.2,259.92
1944.8077,-889.746,138.592,-434.32,-332.5,-3850.0,-2275.0,544.16,-285.76,246.24
1944.8577,-917.745,141.337,-407.541,-883.75,-6606.25,1837.5,554.8,-288.8,250.8
1944.9077,-898.408,137.86,-388.387,-673.75,-6886.25,717.5,545.68,-285.76,249.28
1944.9577,-923.723,156.831,-376.492,-2931.25,-7997.5,-638.75,566.96,-294.88,250.8
1945.0077,-925.065,148.84,-362.584,-5425.0,-10736.25,-1365.0,553.28,-296.4,247.76
1945.0577,-920.673,159.82,-369.416,-6632.5,-8181.25,-3797.5,560.88,-304.0,253.84
1945.1077,-914.146,122.122,-371.002,-1487.5,-1820.0,-7507.5,553.28,-299.44,240.16
1945.1578,-911.462,120.902,-378.627,3648.75,1137.5,-5477.5,559.36,-290.32,235.6
1945.2077,-932.324,119.255,-397.537,9266.25,1470.0,-1907.5,557.84,-302.48,237.12
1945.2577,-905.911,150.06,-407.846,7393.75,2520.0,1365.0,559.36,-285.76,243.2
1945.3077,-932.324,157.563,-403.576,3526.25,-157.5,831.25,557.84,-287.28,246.24
1945.3577,-900.787,156.404,-399.55,-131.25,-1207.5,-2852.5,553.28,-281.2,237.12
