TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2051.4577,-928.542,91.378,-378.017,1968.75,-796.25,-1408.75,570.0,-266.0,255.36
2051.5077,-929.701,98.942,-376.553,787.5,-665.0,-1942.5,582.16,-261.44,259.92
2051.5577,-928.969,91.683,-378.749,647.5,-393.75,-2205.0,570.0,-252.32,252.32
2051.6077,-931.836,93.574,-380.579,1715.0,-708.75,-1907.5,568.48,-261.44,266.0
2051.6577,-928.054,95.648,-383.629,1680.0,-857.5,-2371.25,557.84,-264.48,259.92
2051.7077,-931.897,94.306,-381.494,1811.25,-1050.0,-3491.25,579.12,-256.88,269.04
2051.7577,-928.603,87.474,-377.895,2030.0,-1627.5,-2012.5,577.6,-262.96,261.44
2051.8077,-922.93,95.648,-379.298,2196.25,-472.5,-1426.25,577.6,-275.12,275.12
2051.8577,-935.496,108.031,-375.272,1505.0,-1426.25,-2476.25,565.44,-253.84,276.64
2051.9077,-925.065,115.534,-370.636,2135.0,-717.5,-3211.25,570.0,-247.76,256.88
2051.9577,-922.93,153.354,-371.612,-1828.75,-78.75,-3701.25,556.32,-267.52,266.0
2052.0077,-918.294,88.328,-387.96,-3526.25,866.25,-10447.5,548.72,-264.48,264.48
2052.0577,-950.746,61.366,-393.145,1155.0,-1478.75,-10482.5,576.08,-259.92,266.0
2052.1077,-940.681,48.556,-390.705,1408.75,-7061.25,-10080.0,579.12,-249.28,258.4
2052.1577,-922.32,-5.246,-387.228,4296.25,-7131.25,-7586.25,579.12,-252.32,259.92
2052.2077,-944.402,11.163,-397.537,9520.0,-5040.0,1382.5,568.48,-244.72,261.44
2052.2577,-934.459,42.517,-386.984,4130.0,-7043.75,3158.75,582.16,-243.2,267.52
2052.3077,-968.68,86.864,-365.268,-2870.0,-11541.25,5110.0,570.0,-246.24,259.92
2052.3577,-932.385,104.615,-342.088,-6763.75,-13133.75,5993.75,594.32,-252.32,253.84
2052.4077,-948.611,100.528,-317.688,-1653.75,-10473.75,9572.5,580.64,-255.36,247.76
2052.4577,-945.988,134.566,-295.362,953.75,-15583.75,10622.5,573.04,-259.92,255.36
2052.5077,-941.352,138.714,-286.761,3097.5,-14157.5,7735.0,576.08,-258.4,247.76
2052.5577,-964.532,138.287,-278.648,2791.25,-14717.5,-148.75,583.68,-267.52,253.84
2052.6077,-961.726,116.144,-280.722,2625.0,-11891.25,-2870.0,580.64,-269.04,232.56
2052.6577,-939.217,112.301,-284.992,4856.25,-3123.75,-3946.25,585.2,-267.52,218.88
2052.7077,-932.141,122.976,-295.789,3255.0,4760.0,-5530.0,588.24,-256.88,229.52
2052.7577,-949.953,125.111,-315.614,-3255.0,8452.5,-7673.75,585.2,-262.96,231.04
2052.8077,-956.663,79.544,-322.446,-1557.5,4445.0,-8137.5,591.28,-258.4,237.12
2052.8577,-963.861,81.862,-325.862,3710.0,4987.5,-3272.5,586.72,-273.6,240.16
2052.9077,-935.74,95.709,-319.518,5775.0,4733.75,-507.5,586.72,-264.48,243.2
2052.9577,-965.386,142.74,-329.949,-2143.75,3211.25,201.25,570.0,-261.44,249.28
2053.0077,-936.472,90.707,-344.711,-997.5,9187.5,-2187.5,574.56,-267.52,247.76
2053.0577,-971.486,83.997,-335.439,1995.0,6422.5,-3211.25,579.12,-258.4,243.2
2053.1077,-942.938,73.81,-341.417,2292.5,3263.75,-516.25,582.16,-264.48,237.12
2053.1577,-966.789,99.979,-335.866,525.0,122.5,813.75,589.76,-262.96,237.12
2053.2077,-941.169,109.373,-337.025,-3596.25,280.0,5390.0,583.68,-272.08,243.2
2053.2577,-983.564,139.812,-316.407,-5040.0,-4418.75,8067.5,576.08,-269.04,240.16
2053.3077,-968.07,179.462,-316.956,-13238.75,-10745.0,7717.5,571.52,-278.16,255.36
2053.3577,-939.766,159.759,-310.49,-15723.75,-7455.0,3972.5,592.8,-275.12,250.8
2053.4077,-946.232,148.23,-301.889,-12372.5,-6930.0,1452.5,571.52,-290.32,234.08
2053.4577,-937.936,165.127,-296.704,-3561.25,-4733.75,-4130.0,579.12,-285.76,243.2
2053.5077,-936.594,155.428,-297.192,-2843.75,-1960.0,-6160.0,582.16,-288.8,238.64
2053.5577,-960.018,142.435,-299.876,201.25,-1137.5,-5696.25,582.16,-288.8,223.44
2053.6077,-952.027,150.182,-296.277,551.25,-2651.25,315.0,577.6,-294.88,218.88
2053.6577,-933.239,159.576,-299.022,2003.75,332.5,1085.0,576.08,-294.88,224.96
2053.7077,-943.67,177.571,-303.292,1242.5,3692.5,-1855.0,577.6,-281.2,220.4
2053.7577,-947.147,172.569,-310.307,201.25,4427.5,-4147.5,568.48,-287.28,226.48
2053.8077,-952.271,160.796,-309.453,1426.25,3281.25,-4865.0,573.04,-293.36,235.6
2053.8577,-949.465,174.948,-310.978,2170.0,1907.5,-3316.25,585.2,-288.8,252.32
2053.9077,-918.05,185.623,-323.239,1006.25,5390.0,-3176.25,579.12,-284.24,223.44
2053.9577,-959.774,150.731,-330.498,-2765.0,6938.75,-1986.25,562.4,-290.32,226.48
2054.0077,-987.041,172.264,-333.731,-11235.0,-4733.75,2345.0,582.16,-287.28,246.24
2054.0577,-941.474,145.668,-327.143,-15032.5,-7945.0,3351.25,586.72,-290.32,238.64
2054.1077,-920.307,111.508,-331.23,-8942.5,-4725.0,857.5,571.52,-299.44,229.52
2054.1577,-926.712,109.922,-327.326,-1627.5,-2187.5,-2808.75,576.08,-299.44,215.84
2054.2077,-915.549,64.965,-309.392,6221.25,-1575.0,-2038.75,568.48,-304.0,229.52
2054.2577,-1015.162,195.627,-280.722,16100.0,-2021.25,-376.25,571.52,-314.64,223.44
2054.3077,-995.703,230.946,-268.156,4873.75,-11707.5,5941.25,577.6,-294.88,228.0
2054.3577,-931.714,245.891,-260.531,-945.0,-11558.75,5775.0,563.92,-304.0,214.32
