TimeStamp,ch1,ch2,ch3,ch4
1989.6684,582.89,-549.08,-7219.74,2334.4
1989.6724,588.42,-545.31,-7203.44,2342.37
1989.6764,581.46,-542.4,-7178.02,2353.57
1989.6804,567.05,-547.36,-7177.5,2349.52
1989.6844,571.11,-551.51,-7205.77,2336.22
1989.6884,585.22,-547.03,-7221.79,2334.26
1989.6924,589.56,-542.21,-7204.96,2341.65
1989.6964,581.36,-541.21,-7179.59,2350.52
1989.7004,568.96,-543.79,-7171.77,2353.19
1989.7044,577.16,-541.88,-7192.99,2349.81
1989.7084,590.28,-539.16,-7207.92,2345.56
1989.7124,591.04,-539.4,-7194.38,2349.76
1989.7164,577.78,-544.36,-7175.11,2352.76
1989.7204,563.67,-550.65,-7175.64,2347.14
1989.7244,566.2,-553.18,-7202.48,2336.69
1989.7284,582.65,-547.03,-7215.55,2336.6
1989.7324,594.09,-538.54,-7194.23,2348.33
1989.7364,587.84,-535.87,-7168.72,2359.3
1989.7404,570.49,-543.07,-7170.25,2354.57
1989.7444,573.54,-547.22,-7197.05,2342.51
1989.7484,588.46,-543.21,-7213.45,2339.27
1989.7524,594.23,-537.78,-7197.71,2348.61
1989.7564,585.22,-538.78,-7175.06,2354.91
1989.7604,567.87,-548.22,-7176.83,2346.99
1989.7644,569.96,-554.37,-7204.34,2334.64
1989.7684,579.93,-553.99,-7224.75,2329.02
1989.7724,587.51,-548.79,-7209.25,2336.22
1989.7764,585.84,-541.11,-7173.87,2353.67
1989.7804,568.77,-546.41,-7169.01,2353.29
1989.7844,570.15,-550.79,-7194.71,2343.46
1989.7884,584.32,-548.46,-7214.83,2337.74
1989.7924,589.13,-545.98,-7203.34,2342.13
1989.7964,584.36,-541.97,-7176.4,2352.48
1989.8002,570.82,-545.69,-7172.2,2351.0
1989.8042,570.68,-552.23,-7202.96,2337.46
1989.8082,577.69,-554.08,-7225.94,2329.73
1989.8122,584.55,-548.22,-7210.26,2337.6
1989.8162,581.69,-544.17,-7179.93,2350.33
1989.8202,567.01,-548.08,-7175.54,2347.28
1989.8242,570.3,-551.89,-7202.58,2335.88
1989.8282,582.5,-550.65,-7224.61,2328.73
1989.8322,589.7,-545.64,-7211.97,2335.93
1989.8362,578.93,-548.08,-7187.46,2342.89
1989.8402,560.24,-555.99,-7186.6,2338.12
1989.8442,568.1,-554.51,-7208.92,2332.21
1989.8482,579.26,-553.46,-7227.14,2327.06
1989.8522,586.94,-549.03,-7211.07,2336.22
1989.8562,579.26,-547.36,-7183.7,2346.28
1989.8602,564.72,-553.56,-7178.12,2342.51
1989.8642,571.06,-553.75,-7200.58,2338.27
1989.8682,579.79,-554.99,-7223.42,2330.35
1989.8722,587.51,-549.51,-7209.97,2337.74
1989.8762,578.98,-549.79,-7185.41,2344.66
1989.8802,562.29,-554.75,-7179.07,2342.84
1989.8842,566.1,-557.57,-7202.91,2333.12
1989.8882,577.4,-556.09,-7224.47,2326.77
1989.8922,585.7,-549.98,-7215.07,2333.36
1989.8962,578.59,-547.5,-7190.23,2343.85
1989.9002,561.24,-554.66,-7185.41,2340.22
1989.9042,566.91,-554.04,-7207.92,2334.21
1989.9082,580.17,-550.32,-7227.85,2330.35
1989.9122,582.41,-548.55,-7216.98,2335.45
1989.9162,573.92,-548.94,-7191.13,2343.75
1989.9202,566.29,-546.65,-7173.49,2350.04
1989.9242,569.87,-548.36,-7196.28,2342.03
1989.9282,580.84,-548.08,-7220.03,2335.45
1989.932,591.47,-540.49,-7208.35,2343.46
1989.936,584.55,-539.16,-7183.6,2352.91
1989.94,568.91,-545.31,-7176.02,2349.9
1989.944,570.58,-550.99,-7197.95,2339.51
1989.948,583.74,-548.22,-7216.79,2336.17
1989.952,593.95,-542.59,-7206.25,2343.8
1989.956,585.99,-540.92,-7180.26,2352.62
1989.96,570.44,-546.5,-7176.02,2348.95
1989.964,575.97,-547.27,-7198.57,2342.22
1989.968,594.0,-539.26,-7209.73,2342.84
1989.972,602.29,-534.44,-7199.53,2349.76
1989.976,592.66,-534.63,-7173.97,2357.58
1989.98,574.73,-541.73,-7168.25,2354.43
1989.984,574.26,-547.36,-7193.42,2344.32
1989.988,583.55,-548.55,-7217.65,2335.17
1989.992,596.9,-538.68,-7206.01,2344.56
1989.996,589.8,-538.06,-7180.02,2354.53
1990.0,571.25,-544.83,-7172.82,2351.48
1990.004,575.21,-546.26,-7195.66,2343.46
1990.008,584.36,-547.98,-7218.98,2335.26
1990.012,588.56,-545.84,-7209.92,2339.84
1990.016,581.65,-541.73,-7180.83,2353.72
1990.02,564.81,-547.46,-7175.83,2350.47
1990.024,564.67,-552.03,-7200.19,2339.84
1990.028,581.46,-545.31,-7217.22,2338.22
1990.032,593.76,-537.54,-7202.48,2348.33
1990.036,583.93,-538.92,-7177.78,2355.0
1990.04,564.24,-546.55,-7174.06,2351.33
1990.044,568.44,-549.03,-7200.48,2342.37
1990.048,584.27,-544.02,-7216.45,2340.98
1990.052,597.91,-533.15,-7200.91,2352.0
1990.056,590.8,-534.15,-7178.88,2359.44
1990.06,572.73,-540.83,-7173.25,2356.82
1990.0637,572.25,-547.12,-7200.05,2343.13
1990.0677,585.17,-544.5,-7217.69,2337.36
1990.0717,597.62,-535.97,-7202.58,2349.66
1990.0757,594.66,-531.05,-7175.54,2360.92
1990.0797,577.64,-536.78,-7169.3,2359.2
