TimeStamp,ch1,ch2,ch3,ch4
5865.6243,-6844.09,-13026.86,-9715.61,-3915.36
5865.6283,-6851.1,-13027.76,-9721.52,-3918.98
5865.6323,-6856.78,-13028.0,-9730.39,-3922.7
5865.6363,-6858.73,-13032.25,-9738.73,-3928.28
5865.6403,-6853.87,-13032.96,-9740.45,-3931.48
5865.6443,-6848.81,-13030.48,-9741.5,-3933.29
5865.6483,-6850.82,-13028.24,-9744.26,-3932.76
5865.6523,-6852.01,-13027.53,-9744.31,-3931.71
5865.6563,-6852.53,-13029.86,-9738.49,-3931.05
5865.6603,-6848.62,-13032.1,-9730.58,-3928.71
5865.6643,-6846.33,-13030.29,-9722.66,-3923.51
5865.6683,-6844.47,-13023.85,-9717.75,-3917.07
5865.6723,-6843.52,-13018.9,-9717.08,-3913.98
5865.6763,-6840.61,-13018.71,-9715.56,-3911.97
5865.6803,-6840.18,-13020.37,-9713.03,-3914.17
5865.6843,-6839.13,-13019.28,-9711.31,-3912.83
5865.6883,-6843.85,-13019.8,-9718.94,-3916.45
5865.6923,-6849.34,-13021.28,-9729.05,-3922.32
5865.6963,-6852.25,-13026.05,-9735.59,-3929.04
5865.7003,-6852.72,-13033.68,-9737.73,-3935.19
5865.7043,-6850.67,-13035.82,-9738.06,-3936.01
5865.7083,-6849.0,-13031.29,-9741.4,-3933.33
5865.7123,-6852.82,-13031.34,-9749.27,-3935.15
5865.7163,-6855.54,-13036.78,-9756.14,-3941.63
5865.7203,-6851.01,-13038.64,-9751.61,-3941.01
5865.7243,-6848.62,-13038.64,-9747.08,-3940.06
5865.7283,-6845.95,-13032.53,-9743.55,-3934.91
5865.7324,-6845.43,-13028.48,-9743.88,-3930.76
5865.7364,-6846.91,-13031.34,-9747.32,-3933.53
5865.7404,-6841.99,-13032.72,-9743.5,-3932.81
5865.7444,-6839.13,-13028.0,-9737.64,-3927.76
5865.7484,-6841.71,-13022.0,-9733.87,-3922.84
5865.7524,-6843.23,-13017.42,-9729.77,-3917.55
5865.7564,-6844.47,-13019.99,-9728.72,-3917.98
5865.7604,-6841.99,-13021.71,-9726.53,-3919.22
5865.7644,-6843.38,-13023.33,-9726.38,-3920.41
